"Id","Project","File","Line","Code","Category","Message"
"2278e7d687ec1e8883a4599ab265992a","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs(72,26): warning CS8604: Possibile argomento di riferimento Null per il parametro 'ipAddress' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"a65de3d1ccda7d7f3fe9e910d5fbed1e","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Authentication\Application\Commands\OAuth\HandleOAuthCallbackCommandHandler.cs(72,45): warning CS8604: Possibile argomento di riferimento Null per il parametro 'userAgent' in 'Task<string> HandleOAuthCallbackCommandHandler.CreateSessionForUserAsync(Guid userId, string ipAddress, string userAgent, CancellationToken cancellationToken)'. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"172998aa578ec9346543ca05754c62ca","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadChunkCommandHandler.cs(111,37): warning CS8602: Dereferenziamento di un possibile riferimento Null. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"63357fa9d0ac526aa9f4f426103abd00","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\DocumentProcessing\Application\Commands\UploadChunkCommandHandler.cs(120,17): warning CS8602: Dereferenziamento di un possibile riferimento Null. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"ac51cd4031560fa9f920038e1fa25197","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Administration\Infrastructure\DependencyInjection\AdministrationServiceExtensions.cs(60,13): warning CS0618: 'IServiceCollectionQuartzConfigurator.UseMicrosoftDependencyInjectionJobFactory(Action<JobFactoryOptions>?)' ├¿ obsoleto: 'MicrosoftDependencyInjectionJobFactory is the default for DI configuration, this method will be removed later on' [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"20ace1c70e63daac10a58e70e718160b","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\KnowledgeBase\Application\GridSearch\Handlers\RunGridSearchHandler.cs(46,13): warning CS8604: Possibile argomento di riferimento Null per il parametro 'datasetPath' in 'Task<(EvaluationDataset dataset, IReadOnlyList<GridSearchConfiguration> configurations)> RunGridSearchHandler.LoadDatasetAndGetConfigurationsAsync(string datasetPath, RunGridSearchCommand request, CancellationToken cancellationToken)'. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"d2fa8ff1098b3b660ad5a33fe4d1c7c1","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Administration\Infrastructure\External\PrometheusHttpClient.cs(78,37): warning CS8602: Dereferenziamento di un possibile riferimento Null. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"4cac681b95a55ed885629ab44485865a","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Administration\Infrastructure\External\PrometheusHttpClient.cs(126,37): warning CS8602: Dereferenziamento di un possibile riferimento Null. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"7835bfb423fbd978d73bbdeee1707e18","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\KnowledgeBase\Application\Handlers treamQaQueryHandler.cs(196,54): warning CS8604: Possibile argomento di riferimento Null per il parametro 'searchConfidence' in 'Task<Confidence> StreamQaQueryHandler.CalculateAndCacheResponseAsync(string answer, List<Snippet> snippets, List<SearchResult> domainSearchResults, Confidence searchConfidence, int tokenCount, string cacheKey, LlmUsage? llmUsage, LlmCost? llmCost, CancellationToken cancellationToken)'. [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"f624d12441e4a36eea56a7c941a87e41","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Administration\Application\Handlers\ActivatePromptVersionCommandHandler.cs(160,13): warning S125: Remove this commented out code. (https://rules.sonarsource.com/csharp/RSPEC-125) [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
"024b630cbdfe6713b23a981bc0b845d3","","","","","Other","D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\BoundedContexts\Authentication\Application\Commands\ApiKeys\BulkImportApiKeysCommand.cs(21,15): warning MA0048: File name must match type name (record ApiKeyImportResultDto) (https://github.com/meziantou/Meziantou.Analyzer/blob/main/docs/Rules/MA0048.md) [D:\Repositories\meepleai-monorepo-frontend\meepleai-monorepo\apps\api rc\Api\Api.csproj]"
